expected_vas,expect_uncertainty,sensory_uncertainty
70,high,high
30,high,high
30,low,high
70,high,low
30,low,high
30,high,high
70,low,low
30,low,high
30,low,low
70,low,high
30,high,low
30,high,high
70,low,high
30,high,low
30,low,low
70,low,low
30,high,low
70,high,low
30,low,high
30,high,low
70,high,low
30,high,high
70,low,low
70,low,high
30,low,high
70,low,high
30,high,high
30,low,high
70,high,low
30,high,high
30,low,low
70,high,high
30,high,low
30,high,high
70,high,low
30,high,low
70,low,low
70,high,high
30,low,low
70,high,high
70,low,high
30,high,low
70,high,high
70,high,high
30,high,high
70,high,low
70,low,high
30,low,low
70,high,low
70,high,low
30,low,high
70,low,high
30,high,high
30,low,low
70,high,high
30,low,high
30,high,low
70,low,low
70,low,low
30,low,high
70,high,high
30,high,low
30,low,high
70,high,low
30,high,high
30,low,low
70,low,high
30,high,low
70,low,low
70,low,low
30,low,low
70,high,high
70,low,low
30,low,low
70,low,low
70,high,high
30,low,low
70,high,low
70,low,high
70,low,high
