expected_vas,expect_uncertainty,sensory_uncertainty,stim_intensity,check_up
30,low,none,30,no
30,high,high,30,no
30,low,low,30,no
70,high,none,70,no
70,low,high,70,yes
70,low,low,70,no
30,low,low,30,no
70,high,none,70,no
30,low,high,30,no
70,low,none,70,no
70,low,low,70,no
30,low,low,70,yes
30,low,high,70,no
30,high,high,70,no
30,low,none,70,no
30,low,none,70,no
30,low,low,70,no
70,high,low,30,no
70,high,high,30,no
30,low,none,70,no
70,low,high,30,no
70,low,none,30,no
70,high,high,30,no
70,high,low,70,no
70,low,none,30,no
70,high,none,70,yes
70,high,none,30,no
70,low,high,30,no
70,low,none,30,yes
70,low,high,30,no
30,low,low,70,no
30,low,none,30,no
70,low,low,70,no
30,low,low,70,yes
70,high,high,70,no
30,low,none,30,no
30,high,low,30,no
70,low,low,30,yes
70,high,high,70,no
30,low,high,30,no
30,high,none,70,no
30,low,none,30,no
30,low,none,70,no
70,low,low,30,yes
30,low,none,70,no
70,low,low,70,yes
70,low,high,30,no
70,high,high,70,no
30,high,low,30,no
70,high,none,30,yes
70,high,none,30,no
30,low,high,30,no
30,high,low,70,yes
30,high,none,30,yes
30,low,none,30,no
70,low,low,70,no
70,low,low,30,no
70,high,none,30,no
30,high,none,30,no
30,high,low,70,yes
70,low,none,70,no
30,low,low,70,no
30,low,high,70,no
30,high,none,30,no
30,low,none,30,no
70,high,low,70,no
70,low,high,30,no
30,high,low,30,yes
30,high,none,70,yes
70,high,high,30,no
70,high,low,70,yes
70,low,high,70,no
70,high,none,30,no
70,low,low,70,no
30,high,none,70,no
30,high,none,30,no
70,low,low,30,yes
30,high,high,70,no
70,high,none,70,no
30,high,none,30,yes
30,high,high,30,no
30,high,low,30,no
70,high,low,30,no
30,low,none,30,yes
30,low,low,30,no
30,high,high,70,no
70,high,none,70,no
30,high,low,30,no
70,high,none,30,no
70,low,none,30,no
30,high,none,30,no
70,low,low,30,yes
70,high,low,30,no
70,low,none,70,no
30,high,none,70,no
70,low,none,70,yes
30,low,none,30,no
70,low,none,70,no
70,low,none,30,no
70,low,none,70,no
70,low,low,70,no
70,high,low,70,no
70,low,high,70,no
30,low,high,70,no
70,low,low,30,no
70,high,none,70,no
70,low,high,30,no
30,high,high,70,no
70,high,high,30,no
30,high,high,30,no
70,low,high,70,no
30,low,high,70,no
30,low,high,30,no
30,high,low,70,no
70,high,low,70,no
70,low,high,30,no
30,high,low,70,yes
30,high,none,30,no
70,high,low,70,no
30,low,low,30,yes
30,high,none,70,no
30,low,none,70,no
30,low,low,70,no
30,high,none,30,yes
30,high,low,70,no
30,low,low,30,no
70,high,low,30,no
70,low,none,70,no
30,low,low,30,no
30,high,high,30,no
30,high,high,70,yes
70,high,low,30,no
30,low,high,30,no
30,high,low,30,no
70,low,low,70,no
30,high,low,30,no
70,low,low,30,no
30,high,none,70,no
30,high,high,70,no
70,high,low,30,no
30,high,none,70,no
30,high,low,70,no
30,low,high,30,no
70,high,high,70,yes
30,low,high,70,no
30,low,none,70,no
30,high,high,70,no
30,high,high,30,yes
30,high,high,30,no
30,high,low,70,no
70,low,high,70,no
30,high,none,70,no
70,low,none,30,no
70,high,high,30,no
30,low,none,70,yes
30,high,low,30,no
70,high,none,30,no
30,low,low,70,no
70,high,low,70,yes
30,low,low,70,no
30,low,high,70,no
70,high,low,30,no
70,low,low,30,no
70,low,none,70,no
70,low,none,30,no
70,high,low,30,yes
30,low,high,70,no
70,low,high,30,yes
30,low,high,70,no
70,high,high,30,no
70,high,none,30,yes
30,low,high,30,no
70,high,high,70,no
30,high,high,70,no
70,high,high,70,no
30,high,low,70,no
30,low,low,30,no
70,low,high,70,no
70,low,none,30,no
30,high,high,30,no
70,high,high,30,no
70,low,high,70,no
70,high,none,70,no
70,low,high,70,no
70,high,high,70,no
30,high,high,30,no
70,high,none,70,no
70,high,low,70,no
30,low,low,30,no
30,low,high,30,yes
70,high,high,30,no
70,high,high,70,no
